         88290065 function calls (88037980 primitive calls) in 34.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 ansitowin32.py:1(<module>)
        2    0.000    0.000    0.003    0.001 readers.py:1(<module>)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1136(get_resource_reader)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
 1386/348    0.002    0.000    0.002    0.000 _parser.py:172(getwidth)
        2    0.000    0.000    0.002    0.001 decoder.py:1(<module>)
       48    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
        1    0.000    0.000    0.002    0.002 linalg.py:1(<module>)
    18265    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
       56    0.000    0.000    0.002    0.000 typing.py:678(Optional)
       26    0.001    0.000    0.002    0.000 __init__.py:348(namedtuple)
        2    0.000    0.000    0.002    0.001 resolver.py:1(<module>)
       72    0.000    0.000    0.002    0.000 __init__.py:1464(has_metadata)
      317    0.000    0.000    0.002    0.000 function_base.py:483(add_newdoc)
        1    0.000    0.000    0.002    0.002 version.py:157(Version)
      144    0.001    0.000    0.002    0.000 version.py:183(__init__)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
     2048    0.002    0.000    0.002    0.000 tokens.py:211(__init__)
     2142    0.001    0.000    0.002    0.000 typing.py:1277(__setattr__)
    10760    0.002    0.000    0.002    0.000 composer.py:233(check_end_doc_comment)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
       72    0.000    0.000    0.002    0.000 __init__.py:945(_normalized_name)
      149    0.000    0.000    0.002    0.000 typing.py:1540(copy_with)
       48    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
1387/1370    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFC37329F90}
        2    0.000    0.000    0.002    0.001 encoder.py:1(<module>)
      528    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
        2    0.000    0.000    0.002    0.001 dumper.py:1(<module>)
      433    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      618    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
      374    0.001    0.000    0.002    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
       16    0.000    0.000    0.002    0.000 __init__.py:2132(safe_listdir)
       14    0.000    0.000    0.002    0.000 <frozen ntpath>:674(realpath)
      669    0.002    0.000    0.002    0.000 {method 'translate' of 'bytes' objects}
        4    0.000    0.000    0.002    0.000 compat.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
      224    0.000    0.000    0.002    0.000 <frozen ntpath>:242(basename)
     1232    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 formatting.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
        2    0.000    0.000    0.002    0.001 comments.py:1(<module>)
