+-----------------+---------+--------------+---------+----------+--------+----------+----------+
| variable        |   count |   null_count |    mean |      std |    min |      max |   median |
| rincome         |   68846 |        28503 |       9 |        3 |      1 |       12 |       11 |
| income72        |   68846 |        67372 |       5 |        3 |      1 |       12 |        5 |
| income77        |   68846 |        64658 |      10 |        4 |      1 |       16 |       10 |
| rincom77        |   68846 |        66072 |       8 |        4 |      1 |       16 |        8 |
| income82        |   68846 |        62953 |      11 |        4 |      1 |       17 |       12 |
| rincom82        |   68846 |        64836 |       9 |        5 |      1 |       17 |       10 |
| income86        |   68846 |        61869 |      13 |        5 |      1 |       20 |       14 |
| rincom86        |   68846 |        63987 |      11 |        5 |      1 |       20 |       11 |
| income91        |   68846 |        60814 |      15 |        5 |      1 |       21 |       16 |
| rincom91        |   68846 |        63008 |      12 |        5 |      1 |       21 |       13 |
| income98        |   68846 |        58942 |      16 |        5 |      1 |       23 |       17 |
| rincom98        |   68846 |        61711 |      14 |        6 |      1 |       23 |       15 |
| income06        |   68846 |        57322 |      17 |        6 |      1 |       25 |       18 |
| rincom06        |   68846 |        61117 |      15 |        6 |      1 |       25 |       16 |
| income16        |   68846 |        60589 |      18 |        6 |      1 |       26 |       19 |
| rincom16        |   68846 |        62088 |      13 |        8 |      0 |       26 |       16 |
| region          |   68846 |            0 |       5 |        2 |      1 |        9 |        5 |
| xnorcsiz        |   68846 |         4032 |       4 |        3 |      1 |       10 |        3 |
| srcbelt         |   68846 |         4032 |       4 |        2 |      1 |        6 |        5 |
| size            |   68846 |         4032 |     377 |     1269 |      0 |     8175 |       25 |
| dotdata         |   68846 |        44791 |       4 |        2 |      0 |        8 |        3 |
| dotpeop         |   68846 |        44791 |       6 |        2 |      0 |        8 |        7 |
| dotthng         |   68846 |        44791 |       6 |        3 |      0 |        8 |        7 |
| dotged          |   68846 |        44791 |       4 |        1 |      1 |        6 |        4 |
| dotsvp          |   68846 |        44791 |       5 |        2 |      1 |        8 |        5 |
| dotpres         |   68846 |        44791 |      40 |       15 |      0 |       88 |       38 |
| spdotdat        |   68846 |        54455 |       4 |        2 |      0 |        8 |        3 |
| spdotpeo        |   68846 |        54455 |       6 |        2 |      0 |        8 |        7 |
| spdotthn        |   68846 |        54455 |       6 |        3 |      0 |        8 |        7 |
| spdotged        |   68846 |        54455 |       4 |        1 |      1 |        6 |        4 |
| spdotsvp        |   68846 |        54455 |       5 |        2 |      1 |        8 |        6 |
| spdotpre        |   68846 |        54455 |      41 |       14 |      0 |       88 |       39 |
| padotdat        |   68846 |        46841 |       3 |        2 |      0 |        7 |        2 |
| padotpeo        |   68846 |        46841 |       7 |        2 |      0 |        8 |        8 |
| padotthn        |   68846 |        46841 |       4 |        3 |      0 |        8 |        4 |
| padotged        |   68846 |        46841 |       4 |        1 |      1 |        6 |        4 |
| padotsvp        |   68846 |        46841 |       6 |        2 |      1 |        8 |        7 |
| padotpre        |   68846 |        46841 |      38 |       13 |      0 |       88 |       34 |
| partyid         |   68846 |          450 |       3 |        2 |      0 |        7 |        3 |
| vote68          |   68846 |        65780 |       1 |        1 |      1 |        6 |        1 |
| pres68          |   68846 |        66906 |       2 |        1 |      1 |        5 |        2 |
| if68who         |   68846 |        67934 |       2 |        1 |      1 |        6 |        2 |
| vote72          |   68846 |        61442 |       1 |        1 |      1 |        6 |        1 |
| pres72          |   68846 |        64070 |       2 |        1 |      1 |        5 |        2 |
| if72who         |   68846 |        66742 |       2 |        1 |      1 |        6 |        2 |
| vote76          |   68846 |        62565 |       1 |        1 |      1 |        4 |        1 |
| pres76          |   68846 |        64989 |       1 |        1 |      1 |        5 |        1 |
| if76who         |   68846 |        66823 |       2 |        1 |      1 |        5 |        1 |
| vote80          |   68846 |        60716 |       1 |        1 |      1 |        4 |        1 |
| pres80          |   68846 |        63595 |       2 |        1 |      1 |        6 |        1 |
| if80who         |   68846 |        66505 |       2 |        1 |      1 |        7 |        1 |
| vote84          |   68846 |        61163 |       1 |        1 |      1 |        4 |        1 |
| pres84          |   68846 |        63878 |       2 |        1 |      1 |        5 |        2 |
| if84who         |   68846 |        66702 |       2 |        1 |      1 |        4 |        2 |
| vote88          |   68846 |        62904 |       1 |        1 |      1 |        4 |        1 |
| pres88          |   68846 |        65109 |       2 |        1 |      1 |        5 |        2 |
| if88who         |   68846 |        67216 |       2 |        1 |      1 |        3 |        2 |
| vote92          |   68846 |        58700 |       1 |        1 |      1 |        4 |        1 |
| pres92          |   68846 |        62188 |       2 |        1 |      1 |        6 |        2 |
| if92who         |   68846 |        66187 |       2 |        1 |      1 |        4 |        2 |
| vote96          |   68846 |        60605 |       1 |        1 |      1 |        4 |        1 |
| pres96          |   68846 |        63749 |       2 |        1 |      1 |        6 |        1 |
| if96who         |   68846 |        66419 |       2 |        1 |      1 |        4 |        1 |
| vote00          |   68846 |        60376 |       1 |        1 |      1 |        4 |        1 |
| pres00          |   68846 |        63633 |       2 |        1 |      1 |        6 |        2 |
| if00who         |   68846 |        66043 |       2 |        1 |      1 |        4 |        2 |
| vote04          |   68846 |        60438 |       1 |        1 |      1 |        3 |        1 |
| pres04          |   68846 |        63498 |       2 |        1 |      1 |        6 |        2 |
| if04who         |   68846 |        66265 |       2 |        1 |      1 |        3 |        2 |
| vote08          |   68846 |        62361 |       1 |        1 |      1 |        3 |        1 |
| pres08          |   68846 |        64634 |       1 |        1 |      1 |        4 |        1 |
| if08who         |   68846 |        66917 |       2 |        1 |      1 |        3 |        1 |
| vote12          |   68846 |        61222 |       1 |        1 |      1 |        3 |        1 |
| pres12          |   68846 |        64091 |       1 |        1 |      1 |        4 |        1 |
| if12who         |   68846 |        66421 |       2 |        1 |      1 |        3 |        1 |
| vote16          |   68846 |        62830 |       1 |        1 |      1 |        3 |        1 |
| pres16          |   68846 |        64634 |       2 |        1 |      1 |        4 |        1 |
| if16who         |   68846 |        67345 |       2 |        1 |      1 |        3 |        2 |
| polviews        |   68846 |         9554 |       4 |        1 |      1 |        7 |        4 |
| polviewy        |   68846 |        68095 |       3 |        2 |      0 |        7 |        4 |
| polviewx        |   68846 |        68116 |       5 |        2 |      1 |       10 |        5 |
| natspac         |   68846 |        32181 |       2 |        1 |      1 |        3 |        2 |
| natenvir        |   68846 |        31451 |       1 |        1 |      1 |        3 |        1 |
| natheal         |   68846 |        30998 |       1 |        1 |      1 |        3 |        1 |
| natcity         |   68846 |        34278 |       2 |        1 |      1 |        3 |        1 |
| natcrime        |   68846 |        31342 |       1 |        1 |      1 |        3 |        1 |
| natdrug         |   68846 |        31704 |       1 |        1 |      1 |        3 |        1 |
| nateduc         |   68846 |        30773 |       1 |        1 |      1 |        3 |        1 |
| natrace         |   68846 |        33076 |       2 |        1 |      1 |        3 |        2 |
| natarms         |   68846 |        31676 |       2 |        1 |      1 |        3 |        2 |
| nataid          |   68846 |        31728 |       3 |        1 |      1 |        3 |        3 |
| natfare         |   68846 |        31376 |       2 |        1 |      1 |        3 |        2 |
| natroad         |   68846 |        19736 |       2 |        1 |      1 |        3 |        2 |
| natsoc          |   68846 |        20087 |       1 |        1 |      1 |        3 |        1 |
| natmass         |   68846 |        21948 |       2 |        1 |      1 |        3 |        2 |
| natpark         |   68846 |        19509 |       2 |        1 |      1 |        3 |        2 |
| natchld         |   68846 |        41454 |       2 |        1 |      1 |        3 |        1 |
| natsci          |   68846 |        46617 |       2 |        1 |      1 |        3 |        2 |
| natenrgy        |   68846 |        53578 |       2 |        1 |      1 |        3 |        1 |
| natspacy        |   68846 |        44470 |       2 |        1 |      1 |        3 |        2 |
| natenviy        |   68846 |        43968 |       1 |        1 |      1 |        3 |        1 |
| nathealy        |   68846 |        43616 |       1 |        1 |      1 |        3 |        1 |
| natcityy        |   68846 |        46332 |       2 |        1 |      1 |        3 |        2 |
| natcrimy        |   68846 |        43671 |       2 |        1 |      1 |        3 |        1 |
| natdrugy        |   68846 |        44505 |       2 |        1 |      1 |        3 |        1 |
| nateducy        |   68846 |        43292 |       1 |        1 |      1 |        3 |        1 |
| natracey        |   68846 |        45814 |       2 |        1 |      1 |        3 |        2 |
| natarmsy        |   68846 |        44082 |       2 |        1 |      1 |        3 |        2 |
| nataidy         |   68846 |        43872 |       3 |        1 |      1 |        3 |        3 |
| natfarey        |   68846 |        43593 |       1 |        1 |      1 |        3 |        1 |
| natspacz        |   68846 |        68384 |       2 |        1 |      1 |        3 |        2 |
| natenviz        |   68846 |        68381 |       1 |        1 |      1 |        3 |        1 |
| nathealz        |   68846 |        68381 |       1 |        1 |      1 |        3 |        1 |
| natcityz        |   68846 |        68419 |       2 |        1 |      1 |        3 |        1 |
| natcrimz        |   68846 |        68381 |       1 |        1 |      1 |        3 |        1 |
| natdrugz        |   68846 |        68385 |       1 |        1 |      1 |        3 |        1 |
| nateducz        |   68846 |        68379 |       1 |        1 |      1 |        3 |        1 |
| natracez        |   68846 |        68394 |       2 |        1 |      1 |        3 |        2 |
| natarmsz        |   68846 |        68380 |       2 |        1 |      1 |        3 |        2 |
| nataidz         |   68846 |        68387 |       3 |        1 |      1 |        3 |        3 |
| natfarez        |   68846 |        68373 |       1 |        1 |      1 |        3 |        1 |
| natroadz        |   68846 |        68377 |       2 |        1 |      1 |        3 |        2 |
| natsocz         |   68846 |        68382 |       1 |        1 |      1 |        3 |        1 |
| natmassz        |   68846 |        68403 |       2 |        1 |      1 |        3 |        2 |
| natparkz        |   68846 |        68380 |       2 |        1 |      1 |        3 |        2 |
| equal1          |   68846 |        67426 |       3 |        1 |      1 |        4 |        3 |
| equal2          |   68846 |        67431 |       2 |        1 |      1 |        4 |        2 |
| equal3          |   68846 |        67422 |       3 |        1 |      1 |        4 |        3 |
| equal4          |   68846 |        67412 |       2 |        1 |      1 |        4 |        2 |
| equal5          |   68846 |        67425 |       3 |        1 |      1 |        4 |        3 |
| equal6          |   68846 |        67410 |       2 |        1 |      1 |        4 |        2 |
| equal7          |   68846 |        67474 |       3 |        1 |      1 |        4 |        3 |
| equal8          |   68846 |        67439 |       3 |        1 |      1 |        4 |        3 |
| usclass1        |   68846 |        67451 |       2 |        1 |      1 |        4 |        2 |
| usclass2        |   68846 |        67424 |       3 |        1 |      1 |        4 |        3 |
| usclass3        |   68846 |        67419 |       2 |        1 |      1 |        4 |        2 |
| usclass4        |   68846 |        67431 |       3 |        1 |      1 |        4 |        3 |
| usclass5        |   68846 |        67431 |       3 |        1 |      1 |        4 |        3 |
| usclass6        |   68846 |        67489 |       2 |        1 |      1 |        4 |        2 |
| usclass7        |   68846 |        67451 |       2 |        1 |      1 |        4 |        2 |
| usclass8        |   68846 |        67457 |       2 |        1 |      1 |        4 |        2 |
| educop          |   68846 |        67407 |       1 |        0 |      1 |        2 |        1 |
| govcare         |   68846 |        67466 |       2 |        0 |      1 |        2 |        2 |
| eqwlth          |   68846 |        32439 |       4 |        2 |      1 |        7 |        4 |
| eqwlthy         |   68846 |        68097 |       4 |        2 |      1 |        7 |        4 |
| tax             |   68846 |        30869 |       1 |        1 |      1 |        4 |        1 |
| spkath          |   68846 |        26673 |       1 |        0 |      1 |        2 |        1 |
| colath          |   68846 |        26335 |       4 |        0 |      4 |        5 |        4 |
| libath          |   68846 |        27295 |       2 |        0 |      1 |        2 |        2 |
| spksoc          |   68846 |        64422 |       1 |        0 |      1 |        2 |        1 |
| colsoc          |   68846 |        64532 |       4 |        0 |      4 |        5 |        4 |
| libsoc          |   68846 |        64504 |       2 |        0 |      1 |        2 |        2 |
| spkrac          |   68846 |        31563 |       1 |        0 |      1 |        2 |        1 |
| colrac          |   68846 |        30760 |       5 |        0 |      4 |        5 |        5 |
| librac          |   68846 |        31928 |       2 |        0 |      1 |        2 |        2 |
| spkcom          |   68846 |        27371 |       1 |        0 |      1 |        2 |        1 |
| colcom          |   68846 |        28695 |       5 |        0 |      4 |        5 |        5 |
| libcom          |   68846 |        27714 |       2 |        0 |      1 |        2 |        2 |
| spkmil          |   68846 |        31601 |       1 |        0 |      1 |        2 |        1 |
| colmil          |   68846 |        30904 |       5 |        0 |      4 |        5 |        5 |
| libmil          |   68846 |        31943 |       2 |        0 |      1 |        2 |        2 |
| spkhomo         |   68846 |        28919 |       1 |        0 |      1 |        2 |        1 |
| colhomo         |   68846 |        27822 |       4 |        0 |      4 |        5 |        4 |
| libhomo         |   68846 |        28960 |       2 |        0 |      1 |        2 |        2 |
| spkmslm         |   68846 |        58569 |       2 |        0 |      1 |        2 |        2 |
| colmslm         |   68846 |        57286 |       5 |        0 |      4 |        5 |        5 |
| libmslm         |   68846 |        58565 |       2 |        1 |      1 |        2 |        2 |
| cappun2         |   68846 |        65945 |       1 |        0 |      1 |        2 |        1 |
| cappun          |   68846 |        11339 |       1 |        0 |      1 |        2 |        1 |
| capimp          |   68846 |        68372 |       2 |        1 |      1 |        4 |        2 |
| capinfo         |   68846 |        68371 |       3 |        1 |      1 |        4 |        3 |
| capfirm         |   68846 |        68381 |       3 |        1 |      1 |        4 |        3 |
| gunlaw          |   68846 |        22841 |       1 |        0 |      1 |        2 |        1 |
| gunimp          |   68846 |        66892 |       2 |        1 |      1 |        4 |        2 |
| guninfo         |   68846 |        68370 |       3 |        1 |      1 |        4 |        3 |
| gunfirm         |   68846 |        68376 |       3 |        1 |      1 |        4 |        4 |
| courts          |   68846 |        14274 |       2 |        0 |      1 |        3 |        2 |
